Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-10-06 22:29:24,2024-10-08 00:07:33,UTC-04:00,2024-10-06 22:29:24,2024-10-07 06:02:04,69,13.8,411,450,175,77,159,39,592,127,92,60,false
2024-10-06 01:34:23,2024-10-06 22:29:24,UTC-04:00,2024-10-06 01:34:23,2024-10-06 07:56:59,55,15.5,362,379,142,54,166,17,654,122,95,44,false
2024-10-04 22:31:47,2024-10-06 01:34:23,UTC-04:00,2024-10-04 22:31:47,2024-10-05 05:02:05,59,14.3,351,387,171,67,113,36,596,96,94,89,false
2024-10-03 22:38:18,2024-10-04 22:31:47,UTC-04:00,2024-10-03 22:38:18,2024-10-04 05:59:33,73,13.9,411,441,160,53,198,30,562,53,95,84,false
2024-10-02 20:41:07,2024-10-03 22:38:18,UTC-04:00,2024-10-02 20:41:07,2024-10-03 05:56:46,87,13.4,533,555,187,96,250,22,616,127,97,66,false
2024-10-01 23:07:33,2024-10-02 20:41:07,UTC-04:00,2024-10-01 23:07:33,2024-10-02 06:09:41,59,13.4,390,412,134,81,175,22,656,127,95,82,false
2024-09-30 23:10:23,2024-10-01 23:07:33,UTC-04:00,2024-09-30 23:10:23,2024-10-01 05:57:01,58,13.7,372,406,176,74,122,34,642,113,92,74,false
2024-09-29 22:26:49,2024-09-30 23:10:23,UTC-04:00,2024-09-29 22:26:49,2024-09-30 06:15:58,71,13.5,434,467,168,102,164,33,611,127,92,65,false
2024-09-29 02:12:18,2024-09-29 22:26:49,UTC-04:00,2024-09-29 02:12:18,2024-09-29 07:28:00,48,14.3,293,305,85,82,126,12,610,83,100,44,false
2024-09-27 21:45:13,2024-09-29 02:12:18,UTC-04:00,2024-09-27 21:45:13,2024-09-28 05:59:32,78,13.9,469,490,279,61,129,21,599,95,95,90,false
2024-09-26 21:44:47,2024-09-27 21:45:13,UTC-04:00,2024-09-26 21:44:47,2024-09-27 06:15:36,77,13.7,482,510,171,123,188,28,630,115,97,79,false
2024-09-25 22:04:35,2024-09-26 21:44:47,UTC-04:00,2024-09-25 22:04:35,2024-09-26 05:57:28,71,13.8,451,472,222,83,146,21,631,127,95,71,false
2024-09-24 22:57:01,2024-09-25 22:04:35,UTC-04:00,2024-09-24 22:57:01,2024-09-25 06:15:08,63,13.3,409,438,178,78,153,29,648,127,96,69,false
2024-09-24 00:39:42,2024-09-24 22:57:01,UTC-04:00,2024-09-24 00:39:42,2024-09-24 05:59:49,43,13.4,282,317,114,63,105,35,651,127,94,73,false
